Date/Time,type,signal
8/17/2023 14:00,Exit Short,0
8/15/2023 12:00,Entry Short,2
8/15/2023 12:00,Exit Long,0
8/14/2023 6:00,Entry Long,1
8/14/2023 6:00,Exit Short,0
8/14/2023 0:00,Entry Short,2
8/14/2023 0:00,Exit Long,0
8/13/2023 18:00,Entry Long,1
8/13/2023 18:00,Exit Short,0
8/11/2023 16:00,Entry Short,2
8/11/2023 16:00,Exit Long,0
8/11/2023 14:00,Entry Long,1
8/11/2023 14:00,Exit Short,0
8/9/2023 14:00,Entry Short,2
8/9/2023 14:00,Exit Long,0
8/7/2023 20:00,Entry Long,1
8/7/2023 20:00,Exit Short,0
8/7/2023 14:00,Entry Short,2
8/7/2023 14:00,Exit Long,0
8/6/2023 20:00,Entry Long,1
8/6/2023 20:00,Exit Short,0
8/2/2023 16:00,Entry Short,2
8/2/2023 16:00,Exit Long,0
8/1/2023 18:00,Entry Long,1
8/1/2023 18:00,Exit Short,0
7/31/2023 18:00,Entry Short,2
7/31/2023 18:00,Exit Long,0
7/31/2023 0:00,Entry Long,1
7/31/2023 0:00,Exit Short,0
7/30/2023 10:00,Entry Short,2
7/30/2023 10:00,Exit Long,0
7/28/2023 14:00,Entry Long,1
7/28/2023 14:00,Exit Short,0
7/27/2023 16:00,Entry Short,2
7/27/2023 16:00,Exit Long,0
7/26/2023 2:00,Entry Long,1
7/26/2023 2:00,Exit Short,0
7/24/2023 2:00,Entry Short,2
7/24/2023 2:00,Exit Long,0
7/23/2023 4:00,Entry Long,1
7/23/2023 4:00,Exit Short,0
7/20/2023 14:00,Entry Short,2
7/20/2023 14:00,Exit Long,0
7/19/2023 0:00,Entry Long,1
7/19/2023 0:00,Exit Short,0
7/14/2023 16:00,Entry Short,2
7/14/2023 16:00,Exit Long,0
7/13/2023 14:00,Entry Long,1
7/13/2023 14:00,Exit Short,0
7/12/2023 18:00,Entry Short,2
7/12/2023 18:00,Exit Long,0
7/12/2023 12:00,Entry Long,1
7/12/2023 12:00,Exit Short,0
7/11/2023 12:00,Entry Short,2
7/11/2023 12:00,Exit Long,0
7/9/2023 0:00,Entry Long,1
7/9/2023 0:00,Exit Short,0
7/6/2023 14:00,Entry Short,2
7/6/2023 14:00,Exit Long,0
7/6/2023 6:00,Entry Long,1
7/6/2023 6:00,Exit Short,0
7/4/2023 16:00,Entry Short,2
7/4/2023 16:00,Exit Long,0
7/2/2023 14:00,Entry Long,1
7/2/2023 14:00,Exit Short,0
6/30/2023 12:00,Entry Short,2
6/30/2023 12:00,Exit Long,0
6/29/2023 10:00,Entry Long,1
6/29/2023 10:00,Exit Short,0
6/28/2023 8:00,Entry Short,2
6/20/2023 18:00,Exit Long,0
6/19/2023 16:00,Entry Long,1
6/19/2023 16:00,Exit Short,0
6/18/2023 20:00,Entry Short,2
6/18/2023 20:00,Exit Long,0
6/15/2023 20:00,Entry Long,1
6/15/2023 20:00,Exit Short,0
6/13/2023 14:00,Entry Short,2
6/13/2023 14:00,Exit Long,0
6/11/2023 20:00,Entry Long,1
6/5/2023 16:00,Exit Short,0
6/5/2023 0:00,Entry Short,2
6/5/2023 0:00,Exit Long,0
6/4/2023 12:00,Entry Long,1
6/4/2023 12:00,Exit Short,0
6/3/2023 22:00,Entry Short,2
5/28/2023 20:00,Exit Long,0
5/25/2023 18:00,Entry Long,1
5/25/2023 18:00,Exit Short,0
5/24/2023 2:00,Entry Short,2
5/24/2023 2:00,Exit Long,0
5/22/2023 14:00,Entry Long,1
5/22/2023 14:00,Exit Short,0
5/21/2023 22:00,Entry Short,2
5/8/2023 16:00,Exit Short,0
5/6/2023 12:00,Entry Short,2
5/6/2023 12:00,Exit Long,0
5/5/2023 18:00,Entry Long,1
4/26/2023 8:00,Exit Long,0
4/25/2023 16:00,Entry Long,1
4/25/2023 16:00,Exit Short,0
4/24/2023 8:00,Entry Short,2
4/20/2023 18:00,Exit Short,0
4/19/2023 8:00,Entry Short,2
4/19/2023 8:00,Exit Long,0
4/18/2023 8:00,Entry Long,1
4/18/2023 8:00,Exit Short,0
4/17/2023 0:00,Entry Short,2
4/17/2023 0:00,Exit Long,0
4/16/2023 18:00,Entry Long,1
4/16/2023 18:00,Exit Short,0
4/14/2023 14:00,Entry Short,2
4/14/2023 14:00,Exit Long,0
4/13/2023 10:00,Entry Long,1
4/10/2023 22:00,Exit Long,0
4/9/2023 18:00,Entry Long,1
4/9/2023 18:00,Exit Short,0
4/9/2023 8:00,Entry Short,2
4/9/2023 8:00,Exit Long,0
4/8/2023 4:00,Entry Long,1
4/8/2023 4:00,Exit Short,0
4/6/2023 2:00,Entry Short,2
4/6/2023 2:00,Exit Long,0
4/4/2023 10:00,Entry Long,1
4/4/2023 10:00,Exit Short,0
4/3/2023 20:00,Entry Short,2
4/3/2023 20:00,Exit Long,0
4/3/2023 10:00,Entry Long,1
3/30/2023 2:00,Exit Long,0
3/29/2023 6:00,Entry Long,1
3/29/2023 6:00,Exit Short,0
3/27/2023 14:00,Entry Short,2
3/27/2023 14:00,Exit Long,0
3/26/2023 12:00,Entry Long,1
3/26/2023 12:00,Exit Short,0
3/24/2023 20:00,Entry Short,2
3/24/2023 20:00,Exit Long,0
3/23/2023 14:00,Entry Long,1
3/23/2023 14:00,Exit Short,0
3/22/2023 20:00,Entry Short,2
3/3/2023 0:00,Exit Short,0
3/2/2023 8:00,Entry Short,2
3/2/2023 8:00,Exit Long,0
3/1/2023 4:00,Entry Long,1
3/1/2023 4:00,Exit Short,0
2/28/2023 20:00,Entry Short,2
2/28/2023 20:00,Exit Long,0
2/28/2023 18:00,Entry Long,1
2/28/2023 18:00,Exit Short,0
2/27/2023 16:00,Entry Short,2
2/27/2023 16:00,Exit Long,0
2/26/2023 4:00,Entry Long,1
2/26/2023 4:00,Exit Short,0
2/23/2023 10:00,Entry Short,2
2/23/2023 10:00,Exit Long,0
2/23/2023 2:00,Entry Long,1
2/23/2023 2:00,Exit Short,0
2/21/2023 16:00,Entry Short,2
2/9/2023 20:00,Exit Short,0
2/8/2023 14:00,Entry Short,2
2/8/2023 14:00,Exit Long,0
2/7/2023 16:00,Entry Long,1
2/7/2023 16:00,Exit Short,0
2/6/2023 22:00,Entry Short,2
2/6/2023 22:00,Exit Long,0
2/6/2023 14:00,Entry Long,1
2/6/2023 14:00,Exit Short,0
2/3/2023 0:00,Entry Short,2
2/3/2023 0:00,Exit Long,0
2/1/2023 20:00,Entry Long,1
2/1/2023 20:00,Exit Short,0
2/1/2023 18:00,Entry Short,2
2/1/2023 18:00,Exit Long,0
1/31/2023 14:00,Entry Long,1
1/31/2023 14:00,Exit Short,0
1/30/2023 8:00,Entry Short,2
1/30/2023 8:00,Exit Long,0
1/29/2023 0:00,Entry Long,1
1/29/2023 0:00,Exit Short,0
1/27/2023 2:00,Entry Short,2
1/20/2023 20:00,Exit Long,0
1/20/2023 2:00,Entry Long,1
1/20/2023 2:00,Exit Short,0
1/18/2023 14:00,Entry Short,2
1/18/2023 14:00,Exit Long,0
1/16/2023 20:00,Entry Long,1
1/12/2023 0:00,Exit Long,0
1/10/2023 14:00,Entry Long,1
1/10/2023 14:00,Exit Short,0
1/9/2023 22:00,Entry Short,2
1/9/2023 22:00,Exit Long,0
1/8/2023 22:00,Entry Long,1
1/8/2023 22:00,Exit Short,0
1/8/2023 12:00,Entry Short,2
1/8/2023 12:00,Exit Long,0
1/6/2023 16:00,Entry Long,1
1/6/2023 16:00,Exit Short,0
1/5/2023 8:00,Entry Short,2
1/5/2023 8:00,Exit Long,0
1/4/2023 2:00,Entry Long,1
1/4/2023 2:00,Exit Short,0
1/3/2023 14:00,Entry Short,2
1/3/2023 14:00,Exit Long,0
12/30/2022 20:00,Entry Long,1
12/30/2022 20:00,Exit Short,0
12/28/2022 18:00,Entry Short,2
12/28/2022 18:00,Exit Long,0
12/28/2022 14:00,Entry Long,1
12/28/2022 14:00,Exit Short,0
12/27/2022 12:00,Entry Short,2
12/27/2022 12:00,Exit Long,0
12/26/2022 6:00,Entry Long,1
12/26/2022 6:00,Exit Short,0
12/25/2022 14:00,Entry Short,2
12/25/2022 14:00,Exit Long,0
12/23/2022 12:00,Entry Long,1
12/13/2022 12:00,Exit Long,0
12/12/2022 20:00,Entry Long,1
12/12/2022 20:00,Exit Short,0
12/11/2022 20:00,Entry Short,2
12/11/2022 20:00,Exit Long,0
12/11/2022 18:00,Entry Long,1
12/11/2022 18:00,Exit Short,0
12/10/2022 8:00,Entry Short,2
12/10/2022 8:00,Exit Long,0
12/8/2022 16:00,Entry Long,1
12/8/2022 16:00,Exit Short,0
12/7/2022 6:00,Entry Short,2
12/7/2022 6:00,Exit Long,0
12/7/2022 2:00,Entry Long,1
12/7/2022 2:00,Exit Short,0
12/5/2022 14:00,Entry Short,2
12/5/2022 14:00,Exit Long,0
12/4/2022 20:00,Entry Long,1
12/1/2022 12:00,Exit Long,0
11/29/2022 6:00,Entry Long,1
11/21/2022 18:00,Exit Short,0
11/20/2022 10:00,Entry Short,2
11/5/2022 0:00,Exit Long,0
11/4/2022 4:00,Entry Long,1
11/4/2022 4:00,Exit Short,0
11/2/2022 22:00,Entry Short,2
11/2/2022 22:00,Exit Long,0
11/2/2022 18:00,Entry Long,1
11/2/2022 18:00,Exit Short,0
11/2/2022 10:00,Entry Short,2
11/2/2022 10:00,Exit Long,0
11/1/2022 10:00,Entry Long,1
10/26/2022 8:00,Exit Long,0
10/25/2022 12:00,Entry Long,1
10/25/2022 12:00,Exit Short,0
10/24/2022 6:00,Entry Short,2
10/24/2022 6:00,Exit Long,0
10/21/2022 18:00,Entry Long,1
10/21/2022 18:00,Exit Short,0
10/20/2022 20:00,Entry Short,2
10/20/2022 20:00,Exit Long,0
10/20/2022 14:00,Entry Long,1
10/20/2022 14:00,Exit Short,0
10/18/2022 14:00,Entry Short,2
10/18/2022 14:00,Exit Long,0
10/17/2022 10:00,Entry Long,1
10/17/2022 10:00,Exit Short,0
10/15/2022 8:00,Entry Short,2
10/15/2022 8:00,Exit Long,0
10/13/2022 16:00,Entry Long,1
10/13/2022 16:00,Exit Short,0
10/13/2022 6:00,Entry Short,2
10/13/2022 6:00,Exit Long,0
10/12/2022 4:00,Entry Long,1
10/12/2022 4:00,Exit Short,0
10/10/2022 10:00,Entry Short,2
9/27/2022 2:00,Exit Long,0
9/26/2022 8:00,Entry Long,1
9/26/2022 8:00,Exit Short,0
9/24/2022 20:00,Entry Short,2
9/24/2022 20:00,Exit Long,0
9/22/2022 18:00,Entry Long,1
9/22/2022 18:00,Exit Short,0
9/21/2022 20:00,Entry Short,2
9/19/2022 4:00,Exit Short,0
9/18/2022 18:00,Entry Short,2
9/13/2022 18:00,Exit Short,0
9/13/2022 14:00,Entry Short,2
9/6/2022 20:00,Exit Short,0
9/6/2022 14:00,Entry Short,2
9/6/2022 14:00,Exit Long,0
9/6/2022 0:00,Entry Long,1
9/6/2022 0:00,Exit Short,0
9/5/2022 10:00,Entry Short,2
9/5/2022 10:00,Exit Long,0
9/4/2022 16:00,Entry Long,1
9/4/2022 16:00,Exit Short,0
9/2/2022 20:00,Entry Short,2
9/2/2022 20:00,Exit Long,0
9/2/2022 4:00,Entry Long,1
9/2/2022 4:00,Exit Short,0
9/1/2022 8:00,Entry Short,2
8/27/2022 4:00,Exit Short,0
8/26/2022 14:00,Entry Short,2
8/26/2022 14:00,Exit Long,0
8/26/2022 12:00,Entry Long,1
8/26/2022 12:00,Exit Short,0
8/25/2022 0:00,Entry Short,2
8/25/2022 0:00,Exit Long,0
8/23/2022 8:00,Entry Long,1
8/23/2022 8:00,Exit Short,0
8/22/2022 8:00,Entry Short,2
8/19/2022 6:00,Exit Short,0
8/17/2022 12:00,Entry Short,2
8/17/2022 12:00,Exit Long,0
8/17/2022 6:00,Entry Long,1
8/17/2022 6:00,Exit Short,0
8/15/2022 8:00,Entry Short,2
8/11/2022 4:00,Exit Long,0
8/10/2022 12:00,Entry Long,1
8/10/2022 12:00,Exit Short,0
8/9/2022 4:00,Entry Short,2
8/9/2022 4:00,Exit Long,0
8/7/2022 16:00,Entry Long,1
8/7/2022 16:00,Exit Short,0
8/6/2022 16:00,Entry Short,2
8/6/2022 16:00,Exit Long,0
8/5/2022 6:00,Entry Long,1
8/5/2022 6:00,Exit Short,0
8/3/2022 22:00,Entry Short,2
8/3/2022 22:00,Exit Long,0
8/3/2022 10:00,Entry Long,1
8/3/2022 10:00,Exit Short,0
8/3/2022 2:00,Entry Short,2
7/26/2022 0:00,Exit Short,0
7/25/2022 2:00,Entry Short,2
7/19/2022 0:00,Exit Long,0
7/18/2022 6:00,Entry Long,1
7/15/2022 12:00,Exit Long,0
7/13/2022 22:00,Entry Long,1
7/13/2022 22:00,Exit Short,0
7/13/2022 14:00,Entry Short,2
7/7/2022 18:00,Exit Long,0
7/5/2022 18:00,Entry Long,1
7/5/2022 18:00,Exit Short,0
7/5/2022 12:00,Entry Short,2
6/30/2022 8:00,Exit Short,0
6/30/2022 6:00,Entry Short,2
6/30/2022 6:00,Exit Long,0
6/29/2022 22:00,Entry Long,1
6/29/2022 22:00,Exit Short,0
6/28/2022 16:00,Entry Short,2
6/28/2022 16:00,Exit Long,0
6/28/2022 8:00,Entry Long,1
6/28/2022 8:00,Exit Short,0
6/26/2022 20:00,Entry Short,2
6/26/2022 20:00,Exit Long,0
6/26/2022 0:00,Entry Long,1
5/30/2022 6:00,Exit Long,0
5/27/2022 12:00,Entry Long,1
5/27/2022 12:00,Exit Short,0
5/26/2022 6:00,Entry Short,2
5/26/2022 6:00,Exit Long,0
5/24/2022 22:00,Entry Long,1
5/24/2022 22:00,Exit Short,0
5/23/2022 18:00,Entry Short,2
5/23/2022 18:00,Exit Long,0
5/22/2022 8:00,Entry Long,1
5/22/2022 8:00,Exit Short,0
5/20/2022 14:00,Entry Short,2
5/20/2022 14:00,Exit Long,0
5/19/2022 14:00,Entry Long,1
5/19/2022 14:00,Exit Short,0
5/18/2022 12:00,Entry Short,2
5/18/2022 12:00,Exit Long,0
5/17/2022 10:00,Entry Long,1
5/11/2022 16:00,Exit Short,0
5/11/2022 14:00,Entry Short,2
5/5/2022 16:00,Exit Short,0
5/5/2022 14:00,Entry Short,2
5/5/2022 14:00,Exit Long,0
5/4/2022 6:00,Entry Long,1
5/4/2022 6:00,Exit Short,0
5/2/2022 18:00,Entry Short,2
5/2/2022 18:00,Exit Long,0
5/1/2022 14:00,Entry Long,1
5/1/2022 14:00,Exit Short,0
4/29/2022 8:00,Entry Short,2
4/29/2022 8:00,Exit Long,0
4/27/2022 12:00,Entry Long,1
4/27/2022 12:00,Exit Short,0
4/26/2022 14:00,Entry Short,2
4/26/2022 14:00,Exit Long,0
4/25/2022 16:00,Entry Long,1
4/25/2022 16:00,Exit Short,0
4/24/2022 18:00,Entry Short,2
4/20/2022 10:00,Exit Long,0
4/18/2022 16:00,Entry Long,1
4/18/2022 16:00,Exit Short,0
4/17/2022 16:00,Entry Short,2
4/17/2022 16:00,Exit Long,0
4/15/2022 14:00,Entry Long,1
4/15/2022 14:00,Exit Short,0
4/14/2022 16:00,Entry Short,2
4/11/2022 18:00,Exit Short,0
4/10/2022 22:00,Entry Short,2
4/10/2022 22:00,Exit Long,0
4/10/2022 16:00,Entry Long,1
4/10/2022 16:00,Exit Short,0
4/8/2022 20:00,Entry Short,2
4/6/2022 18:00,Exit Short,0
4/5/2022 18:00,Entry Short,2
4/5/2022 18:00,Exit Long,0
4/5/2022 0:00,Entry Long,1
4/5/2022 0:00,Exit Short,0
4/4/2022 0:00,Entry Short,2
4/4/2022 0:00,Exit Long,0
4/1/2022 16:00,Entry Long,1
3/22/2022 4:00,Exit Long,0
3/21/2022 14:00,Entry Long,1
3/21/2022 14:00,Exit Short,0
3/20/2022 8:00,Entry Short,2
3/20/2022 8:00,Exit Long,0
3/17/2022 6:00,Entry Long,1
3/17/2022 6:00,Exit Short,0
3/16/2022 18:00,Entry Short,2
3/16/2022 18:00,Exit Long,0
3/15/2022 18:00,Entry Long,1
3/15/2022 18:00,Exit Short,0
3/15/2022 8:00,Entry Short,2
3/9/2022 2:00,Exit Long,0
3/8/2022 10:00,Entry Long,1
3/8/2022 10:00,Exit Short,0
3/7/2022 20:00,Entry Short,2
2/24/2022 2:00,Exit Short,0
2/23/2022 20:00,Entry Short,2
2/23/2022 20:00,Exit Long,0
2/22/2022 16:00,Entry Long,1
2/15/2022 14:00,Exit Long,0
2/14/2022 8:00,Entry Long,1
2/14/2022 8:00,Exit Short,0
2/11/2022 2:00,Entry Short,2
1/21/2022 2:00,Exit Short,0
1/20/2022 22:00,Entry Short,2
1/13/2022 16:00,Exit Short,0
1/13/2022 14:00,Entry Short,2
1/13/2022 14:00,Exit Long,0
1/11/2022 2:00,Entry Long,1
1/11/2022 2:00,Exit Short,0
1/10/2022 14:00,Entry Short,2
1/5/2022 20:00,Exit Short,0
1/4/2022 18:00,Entry Short,2
1/4/2022 18:00,Exit Long,0
1/4/2022 14:00,Entry Long,1
12/22/2021 2:00,Exit Long,0
12/20/2021 20:00,Entry Long,1
12/20/2021 20:00,Exit Short,0
12/19/2021 20:00,Entry Short,2
12/19/2021 20:00,Exit Long,0
12/18/2021 12:00,Entry Long,1
12/18/2021 12:00,Exit Short,0
12/17/2021 0:00,Entry Short,2
12/13/2021 18:00,Exit Short,0
12/13/2021 2:00,Entry Short,2
12/3/2021 18:00,Exit Short,0
12/1/2021 22:00,Entry Short,2
11/26/2021 8:00,Exit Short,0
11/26/2021 4:00,Entry Short,2
11/26/2021 4:00,Exit Long,0
11/24/2021 10:00,Entry Long,1
11/24/2021 10:00,Exit Short,0
11/22/2021 18:00,Entry Short,2
11/22/2021 18:00,Exit Long,0
11/22/2021 12:00,Entry Long,1
11/22/2021 12:00,Exit Short,0
11/21/2021 22:00,Entry Short,2
11/21/2021 22:00,Exit Long,0
11/20/2021 0:00,Entry Long,1
11/20/2021 0:00,Exit Short,0
11/18/2021 16:00,Entry Short,2
11/16/2021 0:00,Exit Short,0
11/15/2021 16:00,Entry Short,2
11/8/2021 0:00,Exit Long,0
11/6/2021 20:00,Entry Long,1
11/6/2021 20:00,Exit Short,0
11/5/2021 14:00,Entry Short,2
11/5/2021 14:00,Exit Long,0
11/5/2021 4:00,Entry Long,1
10/15/2021 16:00,Exit Long,0
10/15/2021 2:00,Entry Long,1
10/15/2021 2:00,Exit Short,0
10/14/2021 20:00,Entry Short,2
10/14/2021 20:00,Exit Long,0
10/13/2021 14:00,Entry Long,1
10/13/2021 14:00,Exit Short,0
10/12/2021 14:00,Entry Short,2
10/12/2021 14:00,Exit Long,0
10/11/2021 2:00,Entry Long,1
10/11/2021 2:00,Exit Short,0
10/10/2021 22:00,Entry Short,2
10/10/2021 22:00,Exit Long,0
10/9/2021 14:00,Entry Long,1
9/28/2021 22:00,Exit Short,0
9/27/2021 22:00,Entry Short,2
9/27/2021 22:00,Exit Long,0
9/26/2021 8:00,Entry Long,1
9/26/2021 8:00,Exit Short,0
9/24/2021 10:00,Entry Short,2
9/20/2021 2:00,Exit Short,0
9/19/2021 10:00,Entry Short,2
9/19/2021 10:00,Exit Long,0
9/18/2021 4:00,Entry Long,1
9/18/2021 4:00,Exit Short,0
9/17/2021 18:00,Entry Short,2
9/17/2021 18:00,Exit Long,0
9/17/2021 4:00,Entry Long,1
9/17/2021 4:00,Exit Short,0
9/16/2021 12:00,Entry Short,2
9/16/2021 12:00,Exit Long,0
