,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-11527,496800,497290,10410.105420000002,10378.58,363393.5163400203,0.0030283478147526965,2019-09-06 18:00:00+00:00,2019-09-06 18:08:10+00:00,0 days 00:08:10
1,15212,619200,619562,10556.15796,10590.0,514805.112479993,0.0032059050393369315,2019-09-08 04:00:00+00:00,2019-09-08 04:06:01+00:00,0 days 00:06:01
2,-11760,712801,716285,10292.959654,10261.62,368554.33103999327,0.0030447660394569143,2019-09-09 06:00:00+00:00,2019-09-09 06:58:03+00:00,0 days 00:58:03
3,16057,936002,937777,10088.564244,10120.0,504763.9340920123,0.003115979166083749,2019-09-11 20:00:00+00:00,2019-09-11 20:29:34+00:00,0 days 00:29:34
4,-11878,1094403,1098430,10279.518498000001,10240.0,469400.7192440151,0.0038443919340862553,2019-09-13 16:00:00+00:00,2019-09-13 17:07:06+00:00,0 days 01:07:06
5,15821,1173604,1180054,10337.211864,10370.74,530448.6396559841,0.0032434409240236217,2019-09-14 14:00:00+00:00,2019-09-14 15:47:29+00:00,0 days 01:47:29
6,-5525,1296984,1339234,10319.522414000001,10269.0,279136.33735000517,0.004895809318797517,2019-09-16 00:16:18+00:00,2019-09-16 12:00:28+00:00,0 days 11:44:10
7,-11979,1267205,1339234,10292.690032,10269.0,283782.89332800516,0.002301636591245604,2019-09-15 16:00:00+00:00,2019-09-16 12:00:28+00:00,0 days 20:00:28
8,16179,1440006,1440586,10216.633290000002,10247.74,503275.4610899709,0.0030447123937045184,2019-09-17 16:00:00+00:00,2019-09-17 16:09:39+00:00,0 days 00:09:39
9,-12284,1512007,1512340,10141.032650000001,10110.01,381082.23260000977,0.003059121400225573,2019-09-18 12:00:00+00:00,2019-09-18 12:05:32+00:00,0 days 00:05:32
10,16501,1627208,1627237,10103.064516,10148.0,741480.421483994,0.004447708309576415,2019-09-19 20:00:00+00:00,2019-09-19 20:00:28+00:00,0 days 00:00:28
11,-12627,1814409,1817068,9972.409054,9937.71,438144.9548580078,0.0034795056853471618,2019-09-22 00:00:00+00:00,2019-09-22 00:44:18+00:00,0 days 00:44:18
12,3040,2967632,2980810,8093.3148,8081.75,-35156.99200000032,-0.00142893243198694,2019-10-05 08:20:22+00:00,2019-10-05 12:00:00+00:00,0 days 03:39:38
13,3860,2942024,2980810,8115.615978000001,8081.75,-130722.6750800028,-0.004172939933555941,2019-10-05 01:13:34+00:00,2019-10-05 12:00:00+00:00,0 days 10:46:26
14,4884,2938424,2980810,8137.546638000001,8081.75,-272510.77999200346,-0.006856690410773969,2019-10-05 00:13:34+00:00,2019-10-05 12:00:00+00:00,0 days 11:46:26
15,6145,2934315,2980810,8159.126808000001,8081.75,-475480.4851600055,-0.009483466775407012,2019-10-04 23:05:05+00:00,2019-10-05 12:00:00+00:00,0 days 12:54:55
16,20604,2930410,2980810,8183.010198,8081.75,-2086365.1195919989,-0.012374443578812677,2019-10-04 22:00:00+00:00,2019-10-05 12:00:00+00:00,0 days 14:00:00
17,20642,3146411,3146782,7935.49416,7959.83,502340.40927999455,0.003066707568467164,2019-10-07 10:00:00+00:00,2019-10-07 10:06:10+00:00,0 days 00:06:10
18,-15141,3268812,3270626,8153.499098,8125.34,426356.9028180013,0.003453621281065411,2019-10-08 20:00:00+00:00,2019-10-08 20:30:13+00:00,0 days 00:30:13
19,20028,3333613,3333922,8252.777736,8278.01,505351.78339200426,0.003057426821266862,2019-10-09 14:00:00+00:00,2019-10-09 14:05:08+00:00,0 days 00:05:08
20,3722,3855357,3859092,8272.565400000001,8350.0,288211.58119999507,0.009360409529068026,2019-10-15 14:55:43+00:00,2019-10-15 15:57:58+00:00,0 days 01:02:15
21,4723,3829764,3859092,8294.636256000002,8350.0,261482.96291199248,0.00667464398573836,2019-10-15 07:49:10+00:00,2019-10-15 15:57:58+00:00,0 days 08:08:48
22,5943,3816133,3859092,8317.297938000002,8350.0,194348.35446599094,0.003931813221525804,2019-10-15 04:01:59+00:00,2019-10-15 15:57:58+00:00,0 days 11:55:59
23,19916,3808814,3859092,8339.929578000001,8350.0,200562.52455197752,0.0012074948482254655,2019-10-15 02:00:00+00:00,2019-10-15 15:57:58+00:00,0 days 13:57:58
24,-15137,3859214,3859648,8304.597264,8273.34,473141.20516799774,0.0037638506728674415,2019-10-15 16:00:00+00:00,2019-10-15 16:07:13+00:00,0 days 00:07:13
25,20835,4032015,4033300,8080.697160000001,8106.14,530101.5713999938,0.0031485946690272826,2019-10-17 16:00:00+00:00,2019-10-17 16:21:24+00:00,0 days 00:21:24
26,-15757,4075216,4080384,8054.318146,8030.0,383181.0265219939,0.0030192681191860693,2019-10-18 04:00:00+00:00,2019-10-18 05:26:07+00:00,0 days 01:26:07
27,21350,4190417,4193812,7954.470690000001,7980.0,545050.7684999784,0.003209429136761255,2019-10-19 12:00:00+00:00,2019-10-19 12:56:34+00:00,0 days 00:56:34
28,-3455,4449706,4460402,8279.202866,8193.29,296828.95202999574,0.010376949011941083,2019-10-22 12:01:27+00:00,2019-10-22 14:59:43+00:00,0 days 02:58:16
29,-4449,4442341,4460402,8257.103848,8193.29,283907.80975199904,0.007728357203047209,2019-10-22 09:58:42+00:00,2019-10-22 14:59:43+00:00,0 days 05:01:01
30,-5681,4438175,4460402,8235.20455,8193.29,238116.5585499972,0.00508967928428683,2019-10-22 08:49:16+00:00,2019-10-22 14:59:43+00:00,0 days 06:10:27
31,-7209,4433208,4460402,8213.325224,8193.29,144433.92981599487,0.002439355979896529,2019-10-22 07:26:29+00:00,2019-10-22 14:59:43+00:00,0 days 07:33:14
32,-15630,4420818,4460402,8190.696948000001,8193.29,-40529.40276000267,-0.00031658502523801424,2019-10-22 04:00:00+00:00,2019-10-22 14:59:43+00:00,0 days 10:59:43
33,2629,5261402,5400196,9126.589362,9319.0,505847.5673019984,0.02108242524870585,2019-10-31 21:29:43+00:00,2019-11-02 12:02:57+00:00,1 days 14:33:14
34,3462,5257802,5400196,9201.8646,9319.0,405522.75479999726,0.012729528752248642,2019-10-31 20:29:43+00:00,2019-11-02 12:02:57+00:00,1 days 15:33:14
35,4371,5241619,5400196,9226.158564000001,9319.0,405809.9167559947,0.010062848514468481,2019-10-31 16:00:00+00:00,2019-11-02 12:02:57+00:00,1 days 20:02:57
36,5505,5238019,5400196,9251.453928,9319.0,371841.1263599955,0.007301130452108451,2019-10-31 15:00:00+00:00,2019-11-02 12:02:57+00:00,1 days 21:02:57
37,18506,5234419,5400196,9303.5067,9319.0,286719.0098000017,0.001665318304118646,2019-10-31 14:00:00+00:00,2019-11-02 12:02:57+00:00,1 days 22:02:57
38,-14287,5479219,5480168,9203.94641,9172.95,442845.7096699963,0.0033677303864266817,2019-11-03 10:00:00+00:00,2019-11-03 10:15:48+00:00,0 days 00:15:48
39,19017,5580020,5582680,9257.09181,9287.59,579984.0792300048,0.0032945757291782396,2019-11-04 14:00:00+00:00,2019-11-04 14:44:19+00:00,0 days 00:44:19
40,-14169,5637621,5638091,9367.646908,9335.95,449113.4894519985,0.003383657423395303,2019-11-05 06:00:00+00:00,2019-11-05 06:07:49+00:00,0 days 00:07:49
41,2789,5761537,5810423,9298.960344,9304.01,14083.49058400293,0.0005430344697898715,2019-11-06 16:25:14+00:00,2019-11-07 06:00:00+00:00,0 days 13:34:46
42,3533,5752070,5810423,9325.898004,9304.01,-77330.3181320013,-0.002347013015863153,2019-11-06 13:47:27+00:00,2019-11-07 06:00:00+00:00,0 days 16:12:33
43,4481,5742980,5810423,9352.0746,9304.01,-215377.47259999867,-0.005139458575319722,2019-11-06 11:15:57+00:00,2019-11-07 06:00:00+00:00,0 days 18:44:03
44,5640,5737150,5810423,9377.379978,9304.01,-413806.67592000356,-0.007824144715488979,2019-11-06 09:38:47+00:00,2019-11-07 06:00:00+00:00,0 days 20:21:13
45,18897,5731222,5810423,9402.79551,9304.01,-1866749.7824699944,-0.010505972388205165,2019-11-06 08:00:00+00:00,2019-11-07 06:00:00+00:00,0 days 22:00:00
46,-15379,6529007,6530659,8465.511668,8438.7,412336.64217197633,0.0031671644965475254,2019-11-15 16:00:00+00:00,2019-11-15 16:27:32+00:00,0 days 00:27:32
47,20340,6716207,6718133,8566.87686,8599.79,669453.2676000115,0.0038419065124744023,2019-11-17 20:00:00+00:00,2019-11-17 20:32:05+00:00,0 days 00:32:05
48,-15594,6773808,6773942,8432.07854,8404.69,427096.8927599988,0.0032481362537213343,2019-11-18 12:00:00+00:00,2019-11-18 12:02:13+00:00,0 days 00:02:13
49,21576,6968209,6968457,8157.794946000001,8182.48,532604.7251039713,0.0030259468598314854,2019-11-20 18:00:00+00:00,2019-11-20 18:04:07+00:00,0 days 00:04:07
50,-16425,7018610,7020361,8075.738116,8050.9,407966.0553000133,0.003075646540690924,2019-11-21 08:00:00+00:00,2019-11-21 08:29:10+00:00,0 days 00:29:10
51,-5265,8209011,8209240,7247.828814,7175.88,378810.5057100016,0.009926947206730818,2019-12-05 04:40:00+00:00,2019-12-05 04:43:49+00:00,0 days 00:03:49
52,-6703,8196399,8209240,7226.848228,7175.88,341640.03228399815,0.007052621888823718,2019-12-05 01:09:48+00:00,2019-12-05 04:43:49+00:00,0 days 03:34:01
53,-8501,8188611,8209240,7207.525318,7175.88,269016.8483179988,0.004390594081018273,2019-12-04 23:00:00+00:00,2019-12-05 04:43:49+00:00,0 days 05:43:49
54,-18564,8185011,8209240,7171.615662,7175.88,-79163.17063199912,-0.0005946132923151382,2019-12-04 22:00:00+00:00,2019-12-05 04:43:49+00:00,0 days 06:43:49
55,24233,8336211,8338416,7385.425140000001,7407.81,542452.3123799808,0.003030950767987761,2019-12-06 16:00:00+00:00,2019-12-06 16:36:44+00:00,0 days 00:36:44
56,-8219,8591812,8593831,7531.461172000001,7472.77,482382.74266800605,0.007792800183077264,2019-12-09 14:59:59+00:00,2019-12-09 15:33:38+00:00,0 days 00:33:39
57,-18019,8588212,8593831,7485.265936000001,7472.77,225164.27078400462,0.0016694044148654053,2019-12-09 14:00:00+00:00,2019-12-09 15:33:38+00:00,0 days 01:33:38
58,25065,8797013,8797035,7220.083986000001,7250.0,749844.8909099862,0.004143444045527467,2019-12-12 00:00:00+00:00,2019-12-12 00:00:21+00:00,0 days 00:00:21
59,-18866,8998614,9000973,7241.927088,7209.99,602525.1022080111,0.004410026172856796,2019-12-14 08:00:00+00:00,2019-12-14 08:39:18+00:00,0 days 00:39:18
60,25911,9077815,9081715,7067.881200000001,7089.51,560423.836799987,0.003060153303086066,2019-12-15 06:00:00+00:00,2019-12-15 07:04:59+00:00,0 days 01:04:59
61,-19522,9157016,9158387,7070.068028,7047.02,449943.6026159853,0.003259944304456641,2019-12-16 04:00:00+00:00,2019-12-16 04:22:50+00:00,0 days 00:22:50
62,-4287,10535732,10619917,7233.848414,7158.73,322032.64081800205,0.010384294735098498,2020-01-01 02:58:35+00:00,2020-01-02 02:21:40+00:00,0 days 23:23:05
63,-5507,10530479,10619917,7214.885,7158.73,309245.58500000363,0.007783214839876318,2020-01-01 01:31:02+00:00,2020-01-02 02:21:40+00:00,1 days 00:50:38
64,-7044,10520855,10619917,7195.831712,7158.73,261344.45932800416,0.005156000513203862,2019-12-31 22:50:38+00:00,2020-01-02 02:21:40+00:00,1 days 03:31:02
65,-8933,10513057,10619917,7175.380384,7158.73,148737.88027200435,0.002320487989337594,2019-12-31 20:40:40+00:00,2020-01-02 02:21:40+00:00,1 days 05:41:00
66,-19361,10503417,10619917,7156.806424,7158.73,-37242.35493598509,-0.0002687757480135389,2019-12-31 18:00:00+00:00,2020-01-02 02:21:40+00:00,1 days 08:21:40
67,26766,10712217,10712922,6962.3937240000005,6983.86,574566.3434159785,0.0030831746739634625,2020-01-03 04:00:00+00:00,2020-01-03 04:11:44+00:00,0 days 00:11:44
68,6388,12349674,12365603,8721.59316,8766.99,289995.01391999633,0.0052051086501263555,2020-01-22 02:50:56+00:00,2020-01-22 07:16:25+00:00,0 days 04:25:29
69,21417,12332218,12365603,8744.445108,8766.99,482843.9519639977,0.002578195839936681,2020-01-21 22:00:00+00:00,2020-01-22 07:16:25+00:00,0 days 09:16:25
70,-16463,12433018,12444007,8587.920055999999,8559.96,460306.4019279983,0.0032557424635625276,2020-01-23 02:00:00+00:00,2020-01-23 05:03:08+00:00,0 days 03:03:08
71,22460,12555419,12555503,8425.949838,8452.78,602605.4385200045,0.0031842299700146626,2020-01-24 12:00:00+00:00,2020-01-24 12:01:23+00:00,0 days 00:01:23
72,-16928,12598620,12599881,8427.1854,8401.83,429216.2112000063,0.0030087625697662324,2020-01-25 00:00:00+00:00,2020-01-25 00:21:00+00:00,0 days 00:21:00
73,22736,12713821,12715419,8396.588790000002,8431.0,782373.2705599634,0.004098236898415264,2020-01-26 08:00:00+00:00,2020-01-26 08:26:37+00:00,0 days 00:26:37
74,20467,12944222,12944294,9388.455462,9416.77,579513.649246011,0.003015888834388525,2020-01-29 00:00:00+00:00,2020-01-29 00:01:12+00:00,0 days 00:01:12
75,-15315,13095422,13095424,9455.2441,9468.5,-203014.1085000017,-0.0014019627478469854,2020-01-30 18:00:00+00:00,2020-01-30 18:00:00+00:00,0 days 00:00:00
76,-15465,13153025,13155968,9347.944529999999,9311.82,558665.8564499867,0.003864435639735153,2020-01-31 10:00:00+00:00,2020-01-31 10:49:03+00:00,0 days 00:49:03
77,20637,13318625,13326324,9383.488518000002,9412.0,588391.4540339601,0.003038473585309509,2020-02-02 08:00:00+00:00,2020-02-02 10:08:18+00:00,0 days 02:08:18
78,-15627,13419426,13425402,9338.9072,9310.0,451732.8143999945,0.0030953514561103956,2020-02-03 12:00:00+00:00,2020-02-03 13:39:35+00:00,0 days 01:39:35
79,21110,13563427,13569742,9252.124866000002,9280.0,588444.0787399593,0.003012835905666922,2020-02-05 04:00:00+00:00,2020-02-05 05:45:14+00:00,0 days 01:45:14
80,20012,13858628,13861841,9806.920494,9839.87,659385.5140720168,0.003359821874783231,2020-02-08 14:00:00+00:00,2020-02-08 14:53:33+00:00,0 days 00:53:33
81,-14686,13991828,13993041,10076.323370000002,10044.15,472498.11182003305,0.003192967198312746,2020-02-10 04:00:00+00:00,2020-02-10 04:20:12+00:00,0 days 00:20:12
82,20036,14114229,14118765,9885.250002,9917.63,648765.6399279704,0.0032755871620289145,2020-02-11 14:00:00+00:00,2020-02-11 15:15:35+00:00,0 days 01:15:35
83,-14463,14265430,14265984,10324.605288,10286.22,555166.420344019,0.0037178455669018007,2020-02-13 08:00:00+00:00,2020-02-13 08:09:13+00:00,0 days 00:09:13
84,19672,14279831,14282654,10166.232828000002,10197.68,618628.767583967,0.0030932964581911193,2020-02-13 12:00:00+00:00,2020-02-13 12:47:02+00:00,0 days 00:47:02
85,-6847,14348300,14350334,10185.290602000001,10130.34,376246.7718940055,0.00539509417524231,2020-02-14 07:01:07+00:00,2020-02-14 07:35:01+00:00,0 days 00:33:54
86,-14838,14344632,14350334,10158.847674,10130.34,422996.86681200605,0.002806191697603766,2020-02-14 06:00:00+00:00,2020-02-14 07:35:01+00:00,0 days 01:35:01
87,-17876,15748966,15752551,8485.833178,8459.17,476630.96992801246,0.0031420813302253103,2020-03-01 18:00:00+00:00,2020-03-01 18:59:45+00:00,0 days 00:59:45
88,23416,15792166,15794001,8670.131214,8698.0,652575.4929759786,0.0032143442021959068,2020-03-02 06:00:00+00:00,2020-03-02 06:30:34+00:00,0 days 00:30:34
89,-6306,15900286,15903523,8860.418024,8793.8,420093.2593440078,0.007518609598277992,2020-03-03 12:01:58+00:00,2020-03-03 12:55:55+00:00,0 days 00:53:57
90,-8015,15896686,15903523,8833.226146,8793.8,316000.5601900129,0.004463391443663589,2020-03-03 11:01:58+00:00,2020-03-03 12:55:55+00:00,0 days 01:53:57
91,-17372,15892967,15903523,8809.978738,8793.8,281057.03653600905,0.0018364105613805082,2020-03-03 10:00:00+00:00,2020-03-03 12:55:55+00:00,0 days 02:55:55
92,23473,16022075,16022971,8763.15126,8789.88,627403.7140199684,0.0030501287957911405,2020-03-05 00:00:00+00:00,2020-03-05 00:14:55+00:00,0 days 00:14:55
93,-17133,16158876,16165469,9048.274656,9020.2,481003.0812479806,0.0031027634623560507,2020-03-06 14:00:00+00:00,2020-03-06 15:49:52+00:00,0 days 01:49:52
94,22798,16245277,16253853,9100.412766000001,9128.0,628933.7607319708,0.003031426673641313,2020-03-07 14:00:00+00:00,2020-03-07 16:22:54+00:00,0 days 02:22:54
95,-20438,16641279,16641527,7650.244642000001,7625.5,505730.9931960116,0.0032344902886048965,2020-03-12 04:00:00+00:00,2020-03-12 04:04:08+00:00,0 days 00:04:08
96,30313,19679679,19680972,6904.022118000001,6925.89,662881.1070659865,0.0031674119268805256,2020-04-16 08:00:00+00:00,2020-04-16 08:21:33+00:00,0 days 00:21:33
97,4379,21295112,21299565,8834.490996,8939.99,461980.1385159971,0.01194171843604419,2020-05-05 03:13:53+00:00,2020-05-05 04:28:06+00:00,0 days 01:14:13
98,5541,21285374,21299565,8858.484540000001,8939.99,451621.7538599917,0.009200835609292524,2020-05-05 00:31:35+00:00,2020-05-05 04:28:06+00:00,0 days 03:56:31
99,6979,21279879,21299565,8882.778504000002,8939.99,399279.0305839866,0.006440720769321784,2020-05-04 23:00:00+00:00,2020-05-05 04:28:06+00:00,0 days 05:28:06
100,23505,21276279,21299565,8948.81082,8939.99,-207333.3741000193,-0.000985697449351286,2020-05-04 22:00:00+00:00,2020-05-05 04:28:06+00:00,0 days 06:28:06
